date,open,high,low,close,volume
2023-01-03,149.174370,149.404508,148.972230,149.202330,66086856
2023-01-04,149.098291,150.251466,148.645585,149.796639,58265994
2023-01-05,149.032219,149.530998,148.052400,148.549564,10123205
2023-01-06,148.287731,151.822790,147.137609,150.654313,45078540
2023-01-09,150.934999,151.122141,149.908799,150.094899,17442384
2023-01-10,150.619785,151.981478,148.372457,149.726070,47963074
2023-01-11,149.679659,150.285352,149.357445,149.962529,55192557
2023-01-12,150.185214,152.417440,149.724770,151.951580,50922680
2023-01-13,152.339780,155.346573,150.927075,153.919221,32630762
2023-01-16,153.503929,154.357716,151.151380,151.996785,48726546
2023-01-17,152.480513,154.456209,150.488126,152.463603,24652292
2023-01-18,153.529835,155.346503,151.312959,153.124835,40120258
2023-01-19,152.744934,154.401462,152.550392,154.205060,16213113
2023-01-20,154.903436,155.772126,153.065892,153.929119,63585530
2023-01-23,154.576165,156.194853,151.896435,153.503895,53830753
2023-01-24,153.306312,155.291417,150.405278,152.378366,53828677
2023-01-25,151.825464,153.083187,149.143033,150.388855,28942961
2023-01-26,150.629900,151.304131,149.853683,150.527456,36104508
2023-01-27,149.654678,151.100178,149.435658,150.879366,32393252
2023-01-30,150.822520,152.514403,147.149500,148.818907,22064357
2023-01-31,148.943014,149.400802,146.138207,146.588759,66431800
2023-02-01,146.623935,148.074771,144.096594,145.536672,47230407
2023-02-02,144.822805,148.012139,143.591088,146.763913,42377212
2023-02-03,146.555682,148.811894,145.953760,148.203205,21443624
2023-02-06,148.197131,149.953576,147.341853,149.093128,54825299
2023-02-07,149.461353,152.747370,148.353491,151.623481,49718416
2023-02-08,151.827085,153.465560,149.984603,151.620853,48454337
2023-02-09,152.134884,156.841639,150.145461,154.817141,68355563
2023-02-10,154.638507,156.101226,153.166597,154.629228,22598120
2023-02-13,155.135553,157.808111,154.492622,157.156802,33679956
2023-02-14,157.054095,157.775961,155.029802,155.745654,12077388
2023-02-15,156.177532,157.731973,153.728494,155.273942,13851017
